"No.","Time","Source","Destination","Protocol","Length","Info"
"301","123.537245926","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","181","Application Data"
"303","124.082438316","192.168.1.12","149.154.167.92","SSL","155","Continuation Data"
"304","124.160926757","149.154.167.92","192.168.1.12","SSL","622","Continuation Data"
"309","131.799695324","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","163","Application Data"
"313","134.042329184","192.168.1.12","149.154.167.92","SSL","235","Continuation Data"
"316","134.655993965","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","163","Application Data"
"325","142.376997285","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","155","Application Data"
"327","142.531571678","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","157","Application Data"
"344","169.896340703","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TCP","1466","443  >  58318 [ACK] Seq=7581 Ack=13474 Win=541 Len=1380 TSval=4040857999 TSecr=3982321850 [TCP segment of a reassembled PDU]"
"346","169.896568505","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","421","Application Data, Application Data"
"348","170.424503187","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","182","Application Data"
"350","170.596375972","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","194","Application Data"
"352","170.749301020","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","181","Application Data"
"359","183.720998851","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","166","Application Data"
"361","190.423942243","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","2a03:2880:f258:1c3:face:b00c:0:167","TLSv1.2","155","Application Data"
"364","190.809478558","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","157","Application Data"
"376","210.756776922","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","163","Application Data"
"382","217.618121941","2a03:2880:f258:1c3:face:b00c:0:167","2a00:a041:3c5d:4d00:f4a4:3acb:df53:1bea","TLSv1.2","163","Application Data"
