"No.","Time","Source","Destination","Protocol","Length","Info"
"71","72.151203252","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=3129 Ack=713 Win=1219 Len=0 TSval=3599995564 TSecr=4149124285"
"72","72.293357850","157.240.214.60","192.168.1.12","TLSv1.2","137","Application Data"
"73","72.293404269","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=713 Ack=3200 Win=1159 Len=0 TSval=4149124507 TSecr=3599995678"
"75","81.920792516","157.240.214.60","192.168.1.12","TCP","578","443  >  58402 [ACK] Seq=3200 Ack=713 Win=1219 Len=512 TSval=3600005278 TSecr=4149124507 [TCP segment of a reassembled PDU]"
"76","81.920835094","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=713 Ack=3712 Win=1159 Len=0 TSval=4149134135 TSecr=3600005278"
"77","81.922294598","157.240.214.60","192.168.1.12","TCP","578","443  >  58402 [PSH, ACK] Seq=3712 Ack=713 Win=1219 Len=512 TSval=3600005278 TSecr=4149124507 [TCP segment of a reassembled PDU]"
"78","81.922312796","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=713 Ack=4224 Win=1159 Len=0 TSval=4149134136 TSecr=3600005278"
"79","81.922294781","157.240.214.60","192.168.1.12","TLSv1.2","288","Application Data"
"80","81.922327098","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=713 Ack=4446 Win=1158 Len=0 TSval=4149134136 TSecr=3600005278"
"81","82.279857688","192.168.1.12","157.240.214.60","TLSv1.2","159","Application Data"
"82","82.359080064","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=4446 Ack=806 Win=1219 Len=0 TSval=3600005773 TSecr=4149134494"
"86","85.505508542","157.240.214.60","192.168.1.12","TLSv1.2","159","Application Data"
"87","85.505552669","192.168.1.12","157.240.214.60","TCP","66","58402  >  443 [ACK] Seq=806 Ack=4539 Win=1159 Len=0 TSval=4149137720 TSecr=3600008889"
"88","85.512232250","192.168.1.12","157.240.214.60","TLSv1.2","158","Application Data"
"89","85.591390219","157.240.214.60","192.168.1.12","TCP","66","443  >  58402 [ACK] Seq=4539 Ack=898 Win=1219 Len=0 TSval=3600009005 TSecr=4149137726"
