"No.","Time","Source","Destination","Protocol","Length","Info"
"2018","33.643337576","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2019","33.643342842","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=269481 Win=271744 Len=0 TSval=1172677027 TSecr=3910141465"
"2020","33.644543672","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2021","33.645224818","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2022","33.645230084","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=272241 Win=271744 Len=0 TSval=1172677029 TSecr=3910141465"
"2023","33.646178029","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [PSH, ACK] Seq=272241 Ack=2974 Win=31488 Len=1380 TSval=3910141465 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2024","33.646754394","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [ACK] Seq=273621 Ack=2974 Win=31488 Len=1380 TSval=3910141466 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2025","33.646757666","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=275001 Win=271744 Len=0 TSval=1172677031 TSecr=3910141465"
"2026","33.647810833","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2027","33.648331198","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [ACK] Seq=276381 Ack=2974 Win=31488 Len=1380 TSval=3910141466 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2028","33.648335329","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=277761 Win=271744 Len=0 TSval=1172677032 TSecr=3910141466"
"2029","33.649654602","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2030","33.650209221","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2031","33.651442952","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [PSH, ACK] Seq=134627 Ack=2376 Win=31488 Len=1380 TSval=1621057834 TSecr=1172677000 [TCP segment of a reassembled PDU]"
"2032","33.651446659","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=136007 Win=138368 Len=0 TSval=1172677036 TSecr=1621057834"
"2033","33.652812213","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [ACK] Seq=279141 Ack=2974 Win=31488 Len=1380 TSval=3910141467 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2034","33.652818041","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=280521 Win=271744 Len=0 TSval=1172677037 TSecr=3910141466"
"2035","33.653516720","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2036","33.654084402","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2037","33.654089192","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=283281 Win=271744 Len=0 TSval=1172677038 TSecr=3910141467"
"2038","33.655126620","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2039","33.655664787","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2040","33.655669619","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=286041 Win=271744 Len=0 TSval=1172677040 TSecr=3910141467"
"2041","33.657096416","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2042","33.657742506","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2043","33.657748601","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=288801 Win=271744 Len=0 TSval=1172677042 TSecr=3910141468"
"2044","33.658903601","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [PSH, ACK] Seq=288801 Ack=2974 Win=31488 Len=1380 TSval=3910141468 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2045","33.659526471","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [ACK] Seq=136007 Ack=2376 Win=31488 Len=1380 TSval=1621057836 TSecr=1172677000 [TCP segment of a reassembled PDU]"
"2046","33.660860879","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1468","Application Data [TCP segment of a reassembled PDU]"
"2047","33.660880314","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60812  >  443 [ACK] Seq=2376 Ack=138767 Win=141184 Len=0 TSval=1172677045 TSecr=1621057836"
"2048","33.661582907","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60826 [ACK] Seq=290181 Ack=2974 Win=31488 Len=1380 TSval=3910141469 TSecr=1172676772 [TCP segment of a reassembled PDU]"
"2049","33.661589304","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TCP","88","60826  >  443 [ACK] Seq=2974 Ack=291561 Win=271744 Len=0 TSval=1172677046 TSecr=3910141468"
"2050","33.662665112","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TLSv1.3","1453","Application Data, Application Data"
"2051","33.663001257","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","2a00:a040:0:4:face:b00c:3333:7020","TLSv1.3","686","Application Data"
"2052","33.663298143","2a00:a040:0:4:face:b00c:3333:7020","2a00:a041:3c5d:4d00:c4e8:6181:3ac7:bd41","TCP","1468","443  >  60812 [ACK] Seq=138767 Ack=2376 Win=31488 Len=1380 TSval=1621057838 TSecr=1172677000 [TCP segment of a reassembled PDU]"
